Wielomian interpolacyjny Newtona w punktach le¿¹cych w przedziale <-3,3>
dla funkcji f(x)=|cos(x)*x|
Wezly rownolegle n=7
Wartosci w wezlach:
x0: -3                  y0: 2.96998
x1: -2.14286            y1: 1.16007
x2: -1.28571            y2: 0.361589
x3: -0.428571           y3: 0.389812
x4: 0.428571            y4: 0.389812
x5: 1.28571             y5: 0.361589
x6: 2.14286             y6: 1.16007
x7: 3                   y7: 2.96998

Wartosci w 150 wezlach
i     x       f(x)                L(x)                error
129   2.16    1.20031             1.04567             0.15464             
130   2.2     1.2947              1.15031             0.144388            
131   2.24    1.38961             1.25846             0.13115             
132   2.28    1.4848              1.36961             0.115196            
133   2.32    1.58005             1.48319             0.0968554           
134   2.36    1.67511             1.59859             0.0765167           
135   2.4     1.76974             1.71511             0.0546333           
136   2.44    1.86371             1.83198             0.0317261           
137   2.48    1.95676             1.94837             0.00838695          
138   2.52    2.04864             2.06336             0.0147175           
139   2.56    2.13911             2.17595             0.0368423           
140   2.6     2.22791             2.28507             0.0571606           
141   2.64    2.3148              2.38956             0.0747597           
142   2.68    2.39952             2.48816             0.0886374           
143   2.72    2.48183             2.57953             0.097698            
144   2.76    2.56148             2.66223             0.100749            
145   2.8     2.63822             2.73472             0.096495            
146   2.84    2.71182             2.79535             0.0835375           
147   2.88    2.78202             2.84239             0.0603672           
148   2.92    2.8486              2.87396             0.0253618           
149   2.96    2.91133             2.88811             0.0232189           
150   3       2.96998             2.88274             0.0872366           
